id;start_date;end_date;language
1;2023-06-19T08:20:57;2023-06-19T06:11:12;ENGLISH
2;2023-06-18T17:48:32;2023-06-19T03:14:01;FRENCH
3;2023-06-19T03:44:44;2023-06-18T15:49:52;SPANISH
4;2023-06-19T08:15:33;2023-06-18T13:41:52;FRENCH
5;2023-06-19T10:31:56;2023-06-18T18:50:54;ENGLISH
6;2023-06-18T20:02:39;2023-06-19T10:02:59;SPANISH
7;2023-06-19T04:06:27;2023-06-18T14:40:36;FRENCH
8;2023-06-18T18:32:20;2023-06-18T15:08:09;FRENCH
9;2023-06-18T19:23:58;2023-06-19T06:55:24;FRENCH
10;2023-06-18T15:20:56;2023-06-19T08:18:25;FRENCH
